Hugo_Symbol	mutated_samples	total_muts
MASTL	1	1
MCF2	1	1
MEIKIN	1	1
METTL11B	1	1
MIB1	1	1
MIB2	1	1
MITF	1	1
MLPH	1	1
MOCS1	1	1
MOGAT1	1	1
MRPS7	1	1
MT-CO3	1	1
MT-ND1	1	1
MT-ND2	1	1
MT-ND4	1	1
MUC17	1	1
MUC5AC	1	1
MUC5B	1	1
MYO15B	1	1
MYO1E	1	1
MYO5A	1	1
MYO7B	1	1
NACC1	1	1
NARFL	1	1
NBEAL2	1	1
NCLN	1	1
NDUFV1	1	1
NEB	1	1
NEK5	1	1
NEUROG1	1	1
NIPA2	1	1
NLGN4X	1	1
NLRP13	1	1
NR5A1	1	1
NRCAM	1	1
NSDHL	1	1
NYNRIN	1	1
OASL	1	1
ODF2	1	1
OLFML2B	1	1
OR11L1	1	1
OR2G6	1	1
OR2M2	1	1
OR4K3	1	1
OR5D16	1	1
OS9	1	1
OSBPL10	1	1
OTUD7B	1	1
PARP8	1	1
PAX4	1	1
PCDH1	1	1
PCDHA8	1	1
PCDHB12	1	1
PCDHB5	1	1
PCDHB8	1	1
PCDHGA5	1	1
PCDHGA7	1	1
PCM1	1	1
PCNX3	1	1
PCSK2	1	1
PER1	1	1
PHACTR3	1	1
PHF3	1	1
PHF8	1	1
PHKA2	1	1
PHKB	1	1
PIDD1	1	1
PIEZO1	1	1
PIEZO2	1	1
PIM2	1	1
PLXNA2	1	1
POLD1	1	1
POLQ	1	1
PPFIA3	1	1
PPP2R1A	1	1
PPP6R3	1	1
PRADC1	1	1
PRDM10	1	1
PRELID1	1	1
PRKACB	1	1
PRKDC	1	1
PROKR1	1	1
PRPS1L1	1	1
PRSS16	1	1
PRSS53	1	1
PSD3	1	1
PSG9	1	1
PSMD5	1	1
PTBP1	1	1
PTPRS	1	1
RAB40B	1	1
RAD21L1	1	1
RAP1GAP	1	1
RASAL3	1	1
RASGRP2	1	1
RBP3	1	1
RBPJ	1	1
RGS20	1	1
RIMS4	1	1
RNF31	1	1
ROBO3	1	1
RPA1	1	1
RRP1	1	1
RTN4RL2	1	1
RUBCN	1	1
RYR2	1	1
RYR3	1	1
SAGE1	1	1
SARM1	1	1
SBF1	1	1
SCFD2	1	1
SEC11A	1	1
SEC24B	1	1
SEL1L2	1	1
SENP7	1	1
SERPINC1	1	1
SETD2	1	1
SH3GL2	1	1
SH3PXD2B	1	1
SHANK2	1	1
SHISA8	1	1
SI	1	1
SIK2	1	1
SIPA1L2	1	1
SIPA1L3	1	1
SLC15A2	1	1
SLC17A2	1	1
SLC18A2	1	1
SLC25A31	1	1
SLC26A9	1	1
SLC35C1	1	1
SLC38A4	1	1
SLC9B1	1	1
SLCO6A1	1	1
SLIT2	1	1
SMARCA5	1	1
SORCS2	1	1
SOS1	1	1
SOS2	1	1
SOX10	1	1
SP140	1	1
SPAG4	1	1
SPATA48	1	1
SPEG	1	1
SPTBN4	1	1
SPTLC2	1	1
SRCAP	1	1
ST3GAL2	1	1
ST8SIA5	1	1
STAB2	1	1
STAG2	1	1
STK11IP	1	1
STK32C	1	1
STRN3	1	1
STXBP5	1	1
SUCO	1	1
SVOPL	1	1
SWI5	1	1
SYT16	1	1
SZT2	1	1
TAS2R41	1	1
TCEAL2	1	1
TCF7L1	1	1
TDRKH	1	1
TENM1	1	1
TENT4B	1	1
TERT	1	1
TFRC	1	1
TIMM17B	1	1
TLN2	1	1
TMCO4	1	1
TMEM131	1	1
TMEM200C	1	1
TMEM8A	1	1
TNXB	1	1
TP73	1	1
TRAPPC6A	1	1
TRIM55	1	1
TRIM60	1	1
TRIP12	1	1
TRNAU1AP	1	1
TRPC3	1	1
TUBB4A	1	1
TXNDC16	1	1
UBE3A	1	1
UBE3D	1	1
UBOX5	1	1
UGT8	1	1
UPK1A	1	1
USHBP1	1	1
USP12	1	1
USP34	1	1
USP48	1	1
VAPB	1	1
VASH1	1	1
VDAC1	1	1
VPS13C	1	1
VSTM2A	1	1
WDR78	1	1
WIPF2	1	1
WNK4	1	1
WWC2	1	1
XG	1	1
ZC3H4	1	1
ZC3H7B	1	1
ZC3HAV1	1	1
ZDBF2	1	1
ZFP82	1	1
ZNF227	1	1
ZNF235	1	1
ZNF334	1	1
ZNF347	1	1
ZNF572	1	1
ZNF594	1	1
ZNF618	1	1
ZNF668	1	1
ZNF697	1	1
ZNF699	1	1
ZNF831	1	1
ZNF841	1	1
ZNF880	1	1
ZP3	1	1
ZSCAN29	1	1
