Hugo_Symbol	mutated_samples	total_muts
CACNA1A	1	1
CACNA1D	1	1
CACNA2D2	1	1
CAPN14	1	1
CAPN6	1	1
CARD11	1	1
CBL	1	1
CCDC105	1	1
CCDC113	1	1
CCDC183	1	1
CCDC185	1	1
CCDC88C	1	1
CCDC89	1	1
CCNG1	1	1
CCR3	1	1
CCR4	1	1
CDCA3	1	1
CDCP1	1	1
CDK5RAP2	1	1
CENPF	1	1
CENPU	1	1
CFAP100	1	1
CGAS	1	1
CHADL	1	1
CHD5	1	1
CHRNA10	1	1
CHST13	1	1
CKB	1	1
CLCN1	1	1
CLDN12	1	1
CLEC4F	1	1
CLRN2	1	1
CLSTN2	1	1
CNTNAP4	1	1
COL14A1	1	1
COL19A1	1	1
COL6A5	1	1
COPB2	1	1
CORO1B	1	1
CPA4	1	1
CREBZF	1	1
CRISP1	1	1
CROCC2	1	1
CRTC3	1	1
CRYBB3	1	1
CSMD3	1	1
CSPP1	1	1
CTRL	1	1
CUX2	1	1
CXCL8	1	1
CXorf67	1	1
CYP2R1	1	1
CYS1	1	1
DBH	1	1
DCC	1	1
DCLRE1A	1	1
DDB1	1	1
DDHD1	1	1
DEDD2	1	1
DEFB119	1	1
DENND4A	1	1
DGKE	1	1
DHDH	1	1
DNAH14	1	1
DNAH17	1	1
DNAH5	1	1
DNAH8	1	1
DNAJA2	1	1
DNASE2B	1	1
DOCK6	1	1
DPP10	1	1
DSE	1	1
DTX1	1	1
DUOX2	1	1
DYNC1I2	1	1
EBF4	1	1
EBLN1	1	1
EFCAB14	1	1
EFNA5	1	1
EHMT1	1	1
EIF5A2	1	1
ELF2	1	1
ELK4	1	1
ELP3	1	1
ENTPD8	1	1
EPPK1	1	1
ERAS	1	1
ERP44	1	1
ESRRB	1	1
EXOC3L4	1	1
EXOC5	1	1
FADS2	1	1
FAIM	1	1
FAM124B	1	1
FAM131B	1	1
FAM161B	1	1
FAM177B	1	1
FAM187B	1	1
FAM213A	1	1
FAM214B	1	1
FAM47E-STBD1	1	1
FAM81B	1	1
FANCB	1	1
FBN2	1	1
FBXO11	1	1
FBXW11	1	1
FBXW8	1	1
FCGBP	1	1
FER1L6	1	1
FKBP1C	1	1
FLT1	1	1
FMNL3	1	1
FNDC1	1	1
FOSB	1	1
FUS	1	1
GABRA4	1	1
GAK	1	1
GALT	1	1
GATA6	1	1
GEMIN5	1	1
GFPT1	1	1
GJB5	1	1
GK2	1	1
GLI3	1	1
GLUD2	1	1
GNL2	1	1
GOLGA6L2	1	1
GPR141	1	1
GPR22	1	1
GRIA3	1	1
GRIN2B	1	1
GRIN3A	1	1
GRIN3B	1	1
GRIP1	1	1
GRWD1	1	1
GSR	1	1
GTF2E2	1	1
H3F3C	1	1
HCRTR1	1	1
HEY1	1	1
HGF	1	1
HGFAC	1	1
HGH1	1	1
HNRNPH3	1	1
HOXD10	1	1
HSD17B12	1	1
HTR2C	1	1
IARS2	1	1
IBTK	1	1
IDUA	1	1
IGFALS	1	1
IGFBP7	1	1
IGFN1	1	1
INO80	1	1
INPP5B	1	1
INSM2	1	1
INSR	1	1
IQCB1	1	1
IQGAP3	1	1
IRAK1	1	1
ITIH4	1	1
JPH1	1	1
KCNC1	1	1
KCND2	1	1
KCNH2	1	1
KDF1	1	1
KDM5A	1	1
KDM6A	1	1
KIAA0930	1	1
KIAA1217	1	1
KIAA1586	1	1
KIAA2026	1	1
KIDINS220	1	1
KIF15	1	1
KIF18A	1	1
KIF18B	1	1
KIF1B	1	1
KIR3DL3	1	1
KLHDC10	1	1
KLHDC8B	1	1
KNL1	1	1
KRTAP5-9	1	1
KYAT1	1	1
L1CAM	1	1
LAMB1	1	1
LARS	1	1
LCORL	1	1
LDLR	1	1
LIMA1	1	1
LINC00298	1	1
LINC01448	1	1
LIPC	1	1
LMAN1L	1	1
LMO7	1	1
LMTK2	1	1
LPAR1	1	1
LRFN5	1	1
LRRC32	1	1
LRRC8C	1	1
MAGEB2	1	1
MAGEC2	1	1
MAGI3	1	1
MAP1LC3A	1	1
MAP4K1	1	1
MAP4K5	1	1
MAPKBP1	1	1
MARCH6	1	1
MAST4	1	1
MATK	1	1
MBD6	1	1
MCM9	1	1
MCMDC2	1	1
MEAF6	1	1
MECOM	1	1
MED13	1	1
MED31	1	1
MEGF6	1	1
MFSD8	1	1
MICA	1	1
MIER2	1	1
MINDY1	1	1
MINDY2	1	1
MLIP	1	1
MOGAT3	1	1
MON1B	1	1
MRGPRD	1	1
MRGPRF	1	1
MROH5	1	1
MST1R	1	1
MTM1	1	1
MUC12	1	1
MVD	1	1
MYH6	1	1
MYLK	1	1
MYO1A	1	1
MYO1G	1	1
MYO9B	1	1
NALCN	1	1
NCEH1	1	1
NCLN	1	1
NCOA1	1	1
NECAB2	1	1
NEFH	1	1
NEK1	1	1
NEUROG1	1	1
NEXMIF	1	1
NFATC2	1	1
NFE2	1	1
NGF	1	1
NIPBL	1	1
NLRC5	1	1
NLRP1	1	1
NLRP6	1	1
NMS	1	1
NNT	1	1
NOA1	1	1
NOL8	1	1
NOTCH1	1	1
NOX5	1	1
NPAP1	1	1
NPHP3	1	1
NRXN1	1	1
NSD3	1	1
NT5DC2	1	1
OAZ3	1	1
ODAM	1	1
OGT	1	1
ONECUT3	1	1
OR10G2	1	1
OR11G2	1	1
OR1N1	1	1
OR2A14	1	1
OR2C1	1	1
OR2L13	1	1
OR4D9	1	1
OR5D14	1	1
OR5D16	1	1
OR6C68	1	1
OR6N2	1	1
OR8B4	1	1
OTOG	1	1
OTOP2	1	1
P2RX2	1	1
P2RY13	1	1
PACS1	1	1
PARP2	1	1
PCDHB8	1	1
PCF11	1	1
PDE1C	1	1
PELI3	1	1
PERM1	1	1
PES1	1	1
PHLDB2	1	1
PHLPP1	1	1
PHTF1	1	1
PIGM	1	1
PIWIL3	1	1
PKD1L2	1	1
PLA2R1	1	1
PLCE1	1	1
PLCG2	1	1
PLEKHG6	1	1
PLEKHO1	1	1
PLXNA3	1	1
PNKD	1	1
PNMT	1	1
PPARGC1B	1	1
PPM1E	1	1
PPP1R12A	1	1
PPP2R1A	1	1
PRDM1	1	1
PRDM11	1	1
PRMT2	1	1
PROB1	1	1
PRR5	1	1
PRSS1	1	1
PRSS12	1	1
PTCHD4	1	1
PTPRQ	1	1
PTPRZ1	1	1
RAB11FIP1	1	1
RAD23A	1	1
RAI1	1	1
RAP1GAP2	1	1
RAPGEF4	1	1
RAPH1	1	1
RARS	1	1
RASAL2	1	1
RBBP6	1	1
RBBP7	1	1
RBM15B	1	1
RBMXL3	1	1
RC3H1	1	1
REG3G	1	1
RET	1	1
RFX4	1	1
RIC8B	1	1
RIMS2	1	1
RNF123	1	1
RNF43	1	1
ROBO2	1	1
ROCK2	1	1
RPTN	1	1
RPTOR	1	1
RTN1	1	1
RUNDC3B	1	1
RYR2	1	1
RYR3	1	1
SACS	1	1
SAMD9L	1	1
SAP30	1	1
SCAF4	1	1
SCIN	1	1
SCLY	1	1
SCN1A	1	1
SCNN1D	1	1
SCRT1	1	1
SDK1	1	1
SEC61A2	1	1
SELENOV	1	1
SEMG1	1	1
SERPINB10	1	1
SERPINE3	1	1
SETBP1	1	1
SETD2	1	1
SFT2D1	1	1
SGO2	1	1
SGPP2	1	1
SH3GL2	1	1
SHB	1	1
SIGLEC15	1	1
SIGLEC6	1	1
SIN3B	1	1
SKA3	1	1
SLC14A1	1	1
SLC15A2	1	1
SLC16A3	1	1
SLC1A2	1	1
SLC1A3	1	1
SLC22A31	1	1
SLC26A7	1	1
SLC46A1	1	1
SLC5A3	1	1
SLC5A9	1	1
SLC6A2	1	1
SLIT3	1	1
SMAP2	1	1
SMARCA4	1	1
SMCHD1	1	1
SND1	1	1
SOCS2	1	1
SOWAHA	1	1
SPAM1	1	1
SPEF2	1	1
SPEG	1	1
SPEM3	1	1
SPEN	1	1
SPON2	1	1
SRF	1	1
SRMS	1	1
SRP68	1	1
SSNA1	1	1
STAT1	1	1
STAU2	1	1
SUCLA2	1	1
SULF2	1	1
SUSD3	1	1
SZRD1	1	1
TACC1	1	1
TACC2	1	1
TAF1L	1	1
TAS2R5	1	1
TBC1D10C	1	1
TBC1D20	1	1
TBC1D8B	1	1
TBCK	1	1
TDRD3	1	1
TDRD7	1	1
TEFM	1	1
TH	1	1
TIMM29	1	1
TM2D3	1	1
TMEM131L	1	1
TMEM63C	1	1
TOP2B	1	1
TPBGL	1	1
TRAV1-1	1	1
TRAV1-2	1	1
TRBV6-8	1	1
TREH	1	1
TRHDE	1	1
TRIM21	1	1
TRIM23	1	1
TRIM54	1	1
TRIM56	1	1
TSNAXIP1	1	1
TSTD1	1	1
TTC13	1	1
TTC24	1	1
TTC27	1	1
TTC39B	1	1
TTC41P	1	1
TTLL5	1	1
TXLNG	1	1
UBAP2L	1	1
UBTD2	1	1
UNC13B	1	1
UNC80	1	1
USF2	1	1
USO1	1	1
USP20	1	1
USP24	1	1
USP40	1	1
USP43	1	1
USP53	1	1
UTF1	1	1
UTP14A	1	1
UTS2R	1	1
VCP	1	1
VILL	1	1
VPREB1	1	1
VPS13B	1	1
VPS13C	1	1
VPS51	1	1
VSIG1	1	1
WDR63	1	1
WDR66	1	1
WDR87	1	1
XRCC6	1	1
YTHDC2	1	1
ZAN	1	1
ZC2HC1B	1	1
ZC3H12C	1	1
ZDHHC11	1	1
ZEB2	1	1
ZFHX3	1	1
ZGPAT	1	1
ZNF165	1	1
ZNF207	1	1
ZNF277	1	1
ZNF326	1	1
ZNF365	1	1
ZNF491	1	1
ZNF560	1	1
ZNF579	1	1
ZNF608	1	1
ZNF618	1	1
ZNF644	1	1
ZNF667	1	1
ZNF71	1	1
ZNF717	1	1
ZNF783	1	1
ZNF804B	1	1
ZNF808	1	1
ZSWIM3	1	1
